Country,Medal,Lower,Upper
QAT,3.7520993,2.016094744797843,7.1480963373000534
NAM,3.7467954,2.010790844797843,7.142792437300054
HKG,3.7307458,1.9947412447978428,7.126742837300053
SVK,3.7277536,1.9917490447978428,7.123750637300054
THA,3.7104065,1.974401944797843,7.106403537300054
PAR,3.6845922,1.948587644797843,7.080589237300054
ANZ,3.6779845,1.941979944797843,7.073981537300054
BUR,3.666757,1.930752444797843,7.062754037300055
PLW,3.6538227,1.917818144797843,7.049819737300054
UAR,3.6365826,1.900578044797843,7.032579637300055
MTN,3.6340775,1.898072944797843,7.030074537300054
ARM,3.5746744,1.8386698447978431,6.970671437300054
EGY,3.5701122,1.834107644797843,6.966109237300055
LUX,3.5566986,1.8206940447978428,6.952695637300054
RHO,3.509625,1.7736204447978432,6.905622037300054
MYA,3.5047023,1.768697744797843,6.900699337300054
ALG,3.4691038,1.733099244797843,6.865100837300054
FSM,3.457805,1.721800444797843,6.8538020373000546
URU,3.450058,1.7140534447978428,6.846055037300054
MOZ,3.4093697,1.673365144797843,6.805366737300054
SAM,3.3301191,1.594114544797843,6.726116137300054
ASA,3.3004992,1.564494644797843,6.696496237300054
GUM,3.2744238,1.538419244797843,6.670420837300054
PAK,3.2137334,1.4777288447978432,6.609730437300055
UGA,3.1987243,1.4627197447978428,6.594721337300054
UNK,3.1760547,1.4400501447978429,6.572051737300054
MLT,3.171311,1.4353064447978432,6.567308037300054
BIH,3.1675532,1.431548644797843,6.5635502373000545
WIF,3.086155,1.3501504447978432,6.482152037300054
MGL,3.0812972,1.3452926447978428,6.477294237300054
MAL,3.0714278,1.335423244797843,6.4674248373000545
LIE,3.0600193,1.324014744797843,6.4560163373000545
LBA,3.0384007,1.302396144797843,6.4343977373000545
KIR,3.0340006,1.2979960447978431,6.429997637300055
UAE,3.0008142,1.2648096447978432,6.396811237300055
POR,2.9606283,1.2246237447978432,6.356625337300054
BAN,2.9526358,1.216631244797843,6.348632837300054
GAM,2.913421,1.177416444797843,6.309418037300054
COK,2.8763452,1.1403406447978428,6.2723422373000535
VAN,2.810366,1.0743614447978431,6.206363037300054
JOR,2.8074574,1.071452844797843,6.203454437300055
GRN,2.7953486,1.059344044797843,6.191345637300055
